sentiment,coin_std,trades,notional_sum,r_mean,pnl_mean,winrate
Greed,@33,3,15.14,0.8903126426174497,4.522309666666667,0.6666666666666666
Greed,@35,2,68.21000000000001,0.9827082331083468,33.5140635,1.0
Greed,@38,1,33.36,0.9973619004796164,33.271993,1.0
Greed,@39,1,12.57,0.9736321400159109,12.238556,1.0
Greed,@4,190,22051.6,0.007967710067398244,1.1528842789473683,0.1736842105263158
Greed,@40,1,17.58,0.9526916382252559,16.748319,1.0
Greed,@41,2,37.839999999999996,0.4933983346763363,18.36922,0.5
Greed,@42,1,0.74,0.0,0.0,0.0
Greed,@47,3,51.14,0.6563898747922846,16.771152666666666,0.6666666666666666
Greed,@51,1,12.02,-3.100917637271215,-37.27303,0.0
Greed,@59,2,1504.71,0.0,0.0,0.0
Greed,@63,1,9.91,-2.08512068617558,-20.663546,0.0
Greed,@74,1,12.72,0.9987411163522012,12.703987,1.0
Greed,@8,34,5773.49,0.015070597674414559,1.5165661764705882,0.14705882352941177
Greed,@85,25,21002.66,0.7310633935238209,678.66879056,0.84
Greed,AAVE,28,7200.64,0.008001941094579789,2.365056642857143,0.10714285714285714
Greed,ACE,3,10400.14,0.015415349441161678,39.622400000000006,0.6666666666666666
Greed,ADA,13,1061.35,0.0032479325170542772,0.212203,0.38461538461538464
Greed,AI,7,2386.85,0.007432035402339254,1.6497771428571428,0.42857142857142855
Greed,AI16Z,46,138365.21,0.027886986262351122,48.52401923913043,0.6956521739130435
Greed,AIXBT,47,73376.77,0.03757484734625649,27.785579021276593,0.7872340425531915
Greed,ALT,13,10303.199999999999,0.006885414416730435,17.745261538461538,0.3076923076923077
Greed,ANIME,2,2150.88,0.03408843354263022,35.45163,0.5
Greed,APE,68,51820.49,0.010191344158977987,10.105322397058824,0.3382352941176471
Greed,ARB,4,12381.57,-0.0012696428571428572,-0.00017775,0.0
Greed,ARK,4,276.43,0.09461268448418694,6.53457,1.0
Greed,ATOM,6,344.71999999999997,0.00044294876215433425,0.064232,0.16666666666666666
Greed,AVAX,14,78540.97,0.0,0.0,0.0
Greed,BIGTIME,29,65567.88,0.046010758693593966,54.05952379310345,0.9655172413793104
Greed,BLUR,4,48.870000000000005,-0.0003410825086357001,-0.004164999999999999,0.0
Greed,BNB,6,2371.44,0.0006974950430674114,0.18385966666666664,0.3333333333333333
Greed,BRETT,8,834.28,0.06721654766849011,4.100245,0.5
Greed,BTC,1483,14768952.03,0.0008823022867558691,17.311808204315575,0.27714093054619016
Greed,CAKE,4,660.19,0.24218680373726806,39.9701685,1.0
